Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFOS,PFOSA,PFOA,PFHxS
#15 Kannan et al (2005),K15-22,8,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Belle River",42.79078585,-82.57989687,Pisces,Round goby,Composite whole fish homogenate,1,NA,9/1/98,1998,7.7,1,<0.2,<2
#15 Kannan et al (2005),K15-23,9.2,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,Pisces,Round goby,Composite whole fish homogenate,1,NA,7/1/99,1999,9.6,1.8,<0.2,<2
#15 Kannan et al (2005),K15-24,9.5,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Belle River",42.79078585,-82.57989687,Pisces,Round goby,Composite whole fish homogenate,1,NA,9/1/98,1998,14.9,1.8,<0.2,<2
#15 Kannan et al (2005),K15-25,11.6,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Belle River",42.79078585,-82.57989687,Pisces,Round goby,Composite whole fish homogenate,1,NA,9/1/98,1998,8.9,1.9,<0.2,<2
#15 Kannan et al (2005),K15-26,13.1,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,St. Clair River,42.75083896,-82.47750375,Pisces,Round goby,Composite whole fish homogenate,1,NA,9/1/99,1999,21.5,5.2,<0.2,<2
#15 Kannan et al (2005),K15-27,13.05,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Marine City",42.70139705,-82.49197575,Pisces,Round goby,Composite whole fish homogenate,1,NA,7/1/99,1999,8.7,<1,<0.2,<2
#15 Kannan et al (2005),K15-28,15.9,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,"St. Clair River, Belle River",42.79078585,-82.57989687,Pisces,Round goby,Composite whole fish homogenate,1,NA,9/1/98,1998,7.7,1.1,<0.2,<2
#15 Kannan et al (2005),K15-29,18.85,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,St. Clair River,42.75083896,-82.47750375,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,8/1/99,1999,<2,6.3,<2,<1
#15 Kannan et al (2005),K15-30,34,NA,NA,NA,NA,Lake Huron; Lake St. Clair; Lake Erie,St. Clair River,42.75083896,-82.47750375,Pisces,Smallmouth bass,Composite skinless fillet,1,NA,10/1/98,1998,2.7,1.1,<2,<1
#15 Kannan et al (2005),K15-31,NA,NA,NA,NA,NA,Lake Michigan,"Calumet River, Calumet Harbor",41.73369034,-87.52451661,Algae,Benthic algae,Biofilm,1,1,7/1/99,1999,3.1,<1,<0.2,<2
