Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Maturity,d13C,d15N,Waterbody,Region,Location,Latitude,Longitude,Latitude 2,Longitude 2,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFPrS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,FBSA,FHxSA,PFOSA,NMeFBSA,NMeFOSA,NEtFOSA,FOSAA,NMeFOSAA,NEtFOSAA,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,Cl-PFOS,PFEtCHxS,PFHxPA,PFOPA,6:2 diPAP,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB
#8 Munoz et al (2022),PEFL-J6,14,30,Juvenile,-21.94,12.62,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.334,1.532,2.153,1.731,0.627,0.606,0.169,<0.591,<0.017,0.02,<0.006,0.068,0.026,38.179,<0.007,0.463,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.089,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J7,14.5,30,Juvenile,-21.26,13.06,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.014,1.239,2.616,2.288,0.833,0.813,0.409,<0.591,<0.017,<0.005,<0.006,<0.005,0.051,41.846,<0.007,0.523,<0.005,0.078,<0.016,0.115,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.049,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J9,14.1,29.7,Juvenile,-20.38,14.11,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,1.207,3.489,3.513,1.747,1.741,0.57,<0.591,<0.017,<0.005,<0.006,0.02,0.045,68.172,<0.007,1.185,<0.005,0.116,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.056,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PINO-1,12.5,15,Adult (Sexually Mature),-21,12.44,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Bluntnose minnow,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.084,1.684,2.521,0.651,1.008,0.212,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,41.121,<0.007,0.637,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.027,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.06,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PINO-2,13,21,Adult (Sexually Mature),-20.34,12.4,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Bluntnose minnow,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,0.023,<0.02,<0.013,0.086,2.181,2.606,0.657,0.582,0.186,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,59.728,<0.007,0.756,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.047,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PINO-3,7.45,4.4,Adult (Sexually Mature),-19.77,8.11,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Bluntnose minnow,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.346,1.925,2.441,0.976,1.021,0.387,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,25.085,<0.007,0.537,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.054,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.31,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PINO-4,7.65,3.5,Adult (Sexually Mature),-20.47,5.95,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Bluntnose minnow,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.093,1.001,1.039,0.388,0.406,0.12,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,19.535,<0.007,0.342,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.244,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PINO-5,11.7,14,Adult (Sexually Mature),-20.2,12.62,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Bluntnose minnow,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.147,2.641,2.963,0.806,0.851,0.261,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,63.011,<0.007,1.29,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,0.101,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.034,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),TITI-1,48.1,1325,Adult (Sexually Mature),-23.34,11.91,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Tench,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,1.002,1.629,1.501,0.609,0.532,0.243,<0.591,<0.017,<0.005,<0.006,<0.005,0.017,25.106,<0.007,0.708,<0.005,0.478,0.042,0.067,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),TITI-2,33.6,600,Adult (Sexually Mature),-25.98,11.54,Lake Ontario,St. Lawrence River,Iles de Boucherville,45.61042111,-73.4832161,45.7160065,-73.44774639,Pisces,Tench,Whole fish homogenate,1,1,9/19/19,2019,0.213,<0.03,<0.016,<0.02,0.013,1.012,1.366,1.674,0.635,0.634,0.233,<0.591,<0.017,<0.005,<0.006,<0.005,0.013,27.111,<0.007,0.342,<0.005,0.398,<0.016,0.062,<0.02,<0.01,<0.013,<0.161,<0.011,0.025,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.022,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
