Author (Citation),Sample ID,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFBS,PFHxS,PFOS,PFOSA,PFDS
#63 Custer et al (2014),MGM701-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.77,7.73,2.2,1.32,<0.22,<0.20,<0.20,11.2,<0.17,<0.20
#63 Custer et al (2014),MGM705-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.11,8.09,2.59,1.49,<0.22,<0.20,<0.20,11.8,<0.17,<0.20
#63 Custer et al (2014),MGM706-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.17,3.91,1.3,0.962,<0.22,<0.20,<0.20,6.11,<0.17,<0.20
#63 Custer et al (2014),MGM707-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.84,5.29,1.25,0.757,<0.22,<0.20,<0.20,8.85,<0.17,<0.20
#63 Custer et al (2014),MGM712-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,7.69,9.36,1.78,1.08,<0.22,<0.20,<0.20,9.2,<0.17,<0.20
#63 Custer et al (2014),MGM713-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,<0.75,2.22,0.936,0.782,<0.22,<0.20,<0.20,7.31,<0.17,<0.20
#63 Custer et al (2014),MGM715-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,7.53,11.5,1.82,1.03,<0.22,<0.20,<0.20,14.5,<0.17,<0.20
#63 Custer et al (2014),MGM716-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.61,4.99,1.51,1.13,<0.22,<0.20,<0.20,9.62,<0.17,<0.20
#63 Custer et al (2014),MGM718-B,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.82,4.19,1.08,0.97,<0.22,<0.20,<0.20,10.9,<0.17,<0.20
#63 Custer et al (2014),MN10GM700-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,3.5,34.1,7.15,0.95,0.04,<0.20,0.24,17.4,0.07,2.13
#63 Custer et al (2014),MN10GM701-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,3.4,16.7,4.67,1.76,0.08,<0.20,0.16,17.3,0.05,1.74
#63 Custer et al (2014),MN10GM703-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.7,39.75,6.38,2.07,0.18,<0.20,0.13,23.7,<0.05,1.34
#63 Custer et al (2014),MN10GM705-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.6,32.25,5.6,1.87,0.18,<0.20,0.13,18.4,<0.05,2.88
#63 Custer et al (2014),MN10GM706-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,9.7,68,12.2,2.9,0.31,<0.20,0.18,38,0.06,3.4
#63 Custer et al (2014),MN10GM707-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.6,29.6,6.47,3.33,0.29,<0.20,<0.20,23.6,0.05,2.74
#63 Custer et al (2014),MN10GM712-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,7.5,61.33,12.53,3.63,0.32,<0.20,0.15,41.3,0.06,2.68
#63 Custer et al (2014),MN10GM713-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,8.2,52.75,10.05,3.13,0.26,<0.20,0.14,29.5,0.05,1.62
#63 Custer et al (2014),MN10GM714-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,4.4,32.48,6.24,1.63,0.13,<0.20,0.18,20.9,0.07,3.29
#63 Custer et al (2014),MN10GM719-P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,5,30.4,5.28,1.64,0.22,<0.20,0.09,17.2,<0.05,1.75
#63 Custer et al (2014),MN11GM-701 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,0.92,5.23,2.5,2.15,0.23,<0.20,<0.20,16.1,<0.17,0.33
#63 Custer et al (2014),MN11GM-702 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,3.82,4.96,2.66,1.8,<0.22,<0.20,<0.20,12.78,<0.17,0.17
#63 Custer et al (2014),MN11GM-705 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,2.4,4.86,2.18,1.36,<0.22,<0.20,<0.20,8.9,<0.17,0.17
#63 Custer et al (2014),MN11GM-706 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,2.39,6.95,2.63,2.03,0.3,<0.20,<0.20,14.1,<0.17,<0.20
#63 Custer et al (2014),MN11GM-707 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,3.1,9.7,2.5,1.89,<0.22,<0.20,<0.20,12.63,<0.17,<0.20
#63 Custer et al (2014),MN11GM-708 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,4.08,8.9,3.6,3.06,0.26,<0.20,0.27,16.2,<0.17,0.34
#63 Custer et al (2014),MN11GM-712 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,3.24,8.36,3.2,3.04,0.26,<0.20,0.22,12.16,<0.17,<0.20
#63 Custer et al (2014),MN11GM-713 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,73.5,7.33,6.9,2.29,0.95,<0.20,3.38,310,0.67,1.07
#63 Custer et al (2014),MN11GM-714 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,2.12,6.68,2.72,2.42,0.31,<0.20,0.26,16.66,<0.17,<0.20
#63 Custer et al (2014),MN11GM-715 P,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,2.02,5.44,2.1,2.24,0.3,<0.20,0.21,11.44,<0.17,0.29
#63 Custer et al (2014),LJ740,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2008,0.537,<0.5,<0.75,<0.75,1.81,3.72,7.19,2.88,1.35,<0.20,8.85,125,<0.50,<0.20
#63 Custer et al (2014),LJ756,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2008,0.535,<0.5,<0.75,<0.75,1.56,2.18,5.32,2.55,1.5,<0.20,9.97,104,<0.50,<0.20
#63 Custer et al (2014),LJ767,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2008,<0.5,<0.5,<0.75,<0.75,2.09,3.28,7.42,3.04,1.98,<0.20,13,149,<0.50,<0.20
#63 Custer et al (2014),MLJ730-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.594,<0.5,<0.75,<0.75,2.56,1.91,3.43,1.29,0.703,<0.20,6.12,75.6,<0.50,<0.20
#63 Custer et al (2014),MLJ731-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.974,<0.5,<0.75,<0.75,1.76,1.81,3.88,1.18,0.687,<0.20,4.55,107,<0.50,<0.20
#63 Custer et al (2014),MLJ739-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.551,<0.5,<0.75,<0.75,3.94,3.05,5.61,1.99,1.09,<0.20,10.9,137,<0.50,<0.20
#63 Custer et al (2014),MLJ741-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,5.49,6.94,9.63,2.24,0.982,<0.20,11.2,161,<0.50,<0.20
#63 Custer et al (2014),MLJ758-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.867,<0.5,<0.75,<0.75,2.52,3.5,7.05,2.9,2.09,<0.20,13.3,150,<0.50,<0.20
#63 Custer et al (2014),MLJ759-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.531,<0.5,<0.75,<0.75,3.2,4.31,8.76,4.2,3.04,<0.20,13.8,163,0.604,<0.20
#63 Custer et al (2014),MLJ762-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.52,2.6,8.22,3.09,1.76,<0.20,8.71,190,<0.50,<0.20
#63 Custer et al (2014),MLJ765-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.941,<0.5,<0.75,<0.75,1.96,2.93,5.43,2.4,1.61,<0.20,12.8,142,<0.50,<0.20
#63 Custer et al (2014),MLJ766-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.52,3.57,8.26,3.69,2.61,<0.20,19.2,170,<0.50,<0.20
#63 Custer et al (2014),MLJ767-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,0.621,<0.5,<0.75,<0.75,8.32,7.62,13.3,5.63,4.33,<0.20,14.5,178,<0.50,<0.20
#63 Custer et al (2014),MLJ768-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,2.77,3.36,5.82,2.89,1.79,<0.20,13.3,143,<0.50,<0.20
#63 Custer et al (2014),MLJ769-B,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,3.18,4.88,8.83,3.03,2.09,<0.20,5.03,116,<0.50,<0.20
#63 Custer et al (2014),MN10PE735-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,74.5,4.1,6.25,2.07,0.91,<0.20,2.35,295,0.78,4.35
#63 Custer et al (2014),MN10PE739-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,47.7,3.29,5.6,1.18,0.69,<0.20,1.32,241.3,0.39,4.13
#63 Custer et al (2014),MN10PE740-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,80.3,4.43,7.53,2.17,1.13,<0.20,2.41,390,0.8,6.63
#63 Custer et al (2014),MN10PE741-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,90,3.76,5.66,1.5,0.59,<0.20,1.82,270,0.37,3.64
#63 Custer et al (2014),MN10PE742-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,28,1.17,1.34,0.62,0.27,<0.20,0.42,84.6,0.37,1.6
#63 Custer et al (2014),MN10PE747-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,94,3.93,5.93,1.74,1.25,<0.20,2.48,290,0.64,3.5
#63 Custer et al (2014),MN10PE750-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,111.6,4.14,5.44,1.72,0.86,<0.20,2.18,284,0.5,3.82
#63 Custer et al (2014),MN10PE762-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,100.7,4.55,7.4,1.27,0.84,<0.20,2.79,354.7,0.91,7.07
#63 Custer et al (2014),MN10PE764-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,93,5.3,7.6,1.69,0.76,<0.20,4.35,424.5,0.93,8.25
#63 Custer et al (2014),MN10PE766-P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,30.9,3.05,4.2,1.24,0.63,<0.20,1.99,236,0.5,4.03
#63 Custer et al (2014),MN11PE-731 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,168.25,6.33,7.18,2.47,1.1,<0.20,4.43,450,0.65,1.32
#63 Custer et al (2014),MN11PE-732 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,65.6,7.8,7.46,2.32,1.02,<0.20,2.08,474,0.67,1.35
#63 Custer et al (2014),MN11PE-737 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,130.6,5.76,5.92,2.06,0.68,<0.20,3.44,330,0.62,1.23
#63 Custer et al (2014),MN11PE-739 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,133.2,5.7,7.72,1.7,0.85,<0.20,3.3,292,0.48,1.5
#63 Custer et al (2014),MN11PE-742 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,65.4,3.36,4.06,1.21,0.48,<0.20,4.64,212,0.54,0.66
#63 Custer et al (2014),MN11PE-744 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,180.6,6.66,8.54,2.74,0.65,<0.20,5.24,462,0.5,1.16
#63 Custer et al (2014),MN11PE-745 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,59.75,7.53,6.4,1.57,0.74,<0.20,3.53,325,0.48,0.85
#63 Custer et al (2014),MN11PE-758 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,2.36,4.62,1.85,1.52,<0.20,<0.20,<0.20,9.36,<0.17,<0.20
#63 Custer et al (2014),MN11PE-761 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,33,3,3.96,1.85,0.86,<0.20,2.58,170,0.57,0.97
#63 Custer et al (2014),MN11PE-764 P,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Plasma,1,NA,2011,<0.5,<0.5,<0.75,<0.75,80.75,7.48,7.7,2.7,1.08,<0.20,3,377.5,0.86,1.52
#63 Custer et al (2014),MN10PT806-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,0.833,<0.5,<0.75,<0.75,3.91,3.45,2.84,0.972,0.582,<0.20,1.04,68.5,<0.20,<0.20
#63 Custer et al (2014),MN10PT814-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,5.04,<0.72,<0.75,<0.75,<0.75,<0.20,<1.50,60.9,<0.20,<0.20
#63 Custer et al (2014),MN10PT815-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,4.21,3.83,2.86,1.17,0.585,<0.20,1.73,75.4,<0.20,<0.20
#63 Custer et al (2014),MN10PT816-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,8.74,8.68,5.95,1.84,1.17,<0.20,2.71,139,<0.20,<0.20
#63 Custer et al (2014),MN10PT817-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,1.15,<0.5,<0.75,<0.75,8.36,6.39,5.21,2.01,1.27,<0.20,2.48,125,<0.20,<0.20
#63 Custer et al (2014),MN10PT818-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,0.595,<0.5,<0.75,<0.75,9.12,7.37,5.34,1.67,1.13,<0.20,2.8,146,<0.20,<0.20
#63 Custer et al (2014),MN10PT823-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,6.48,6.96,4.06,1.31,0.836,<0.20,1.94,109,<0.20,<0.20
#63 Custer et al (2014),MN10PT824-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,9.24,9.75,6.99,2.25,1.41,<0.20,3.82,203,<0.20,<0.20
#63 Custer et al (2014),MN10PT825-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,14.9,14,9.28,2.69,1.64,<0.20,4.28,259,<0.20,<0.20
#63 Custer et al (2014),MN10PT827-P,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2010,<0.5,<0.5,<0.75,<0.75,4.66,4.77,3.39,1.25,0.7,<0.20,1.36,70.5,<0.20,<0.20
#63 Custer et al (2014),MPT 803-B,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,1.4,2.27,2.87,1.4,0.8,<0.20,0.4,87.3,<0.20,8.6
#63 Custer et al (2014),MPT 806-B,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,7.8,6.03,4.64,2,1.1,<0.20,1.2,153.4,<0.20,11.6
#63 Custer et al (2014),MPT 811-B,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,5.6,3.92,3.48,1.8,0.7,<0.20,1,100,<0.20,7.3
#63 Custer et al (2014),MPT 815-B,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,7.2,5.96,4.24,1.9,0.7,<0.20,1.1,134,<0.20,7.9
#63 Custer et al (2014),MPT 820-B,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,5,4.67,2.64,0.8,0.4,<0.20,0.9,96.3,<0.20,6.1
#63 Custer et al (2014),MPT 830-B,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Plasma,1,NA,2009,<0.5,<0.5,<0.75,<0.75,4.3,6.37,4.68,1.9,0.9,<0.20,1.1,243.4,<0.20,21
#63 Custer et al (2014),L402,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Lawrence",43.72504112,-91.27222248,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,8.22,7.74,3.6,3.24,<0.50,<0.20,1.72,113,<0.20,4.13
#63 Custer et al (2014),L409,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Lawrence",43.72504112,-91.27222248,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,4.76,7.27,3.35,2.01,<0.50,<0.20,1.73,111,<0.20,7.6
#63 Custer et al (2014),L412B,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Lawrence",43.72504112,-91.27222248,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,2.84,6.67,3.15,2.54,<0.50,<0.20,1.85,110,<0.20,18.1
#63 Custer et al (2014),L419,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Lawrence",43.72504112,-91.27222248,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,2.7,6.22,2.44,2.11,<0.50,<0.20,1.04,92,<0.20,8.13
#63 Custer et al (2014),K451B,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Schnicks",43.6992187,-91.27031046,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,5.91,7.96,4.51,2.12,0.82,<0.20,2.69,135,<0.20,14.95
#63 Custer et al (2014),K455,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Schnicks",43.6992187,-91.27031046,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,10.1,9.4,5.86,2.23,1.04,<0.20,2,203,<0.20,26.46
#63 Custer et al (2014),K459,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Schnicks",43.6992187,-91.27031046,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,6.99,9.06,4.39,1.43,<0.50,<0.20,1.77,111,<0.20,9.47
#63 Custer et al (2014),K467,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Schnicks",43.6992187,-91.27031046,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,9.35,7.94,4.34,1.69,0.59,<0.20,1.69,153,<0.20,18.97
#63 Custer et al (2014),S501,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Shellhorn",43.6639601,-91.27560283,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,3.31,4.36,2.75,1.37,<0.50,<0.20,1.63,82,<0.20,16.99
#63 Custer et al (2014),S505,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Shellhorn",43.6639601,-91.27560283,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,5.58,6.05,4.04,1.59,<0.50,<0.20,1.7,121,<0.20,16.67
#63 Custer et al (2014),S511,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Shellhorn",43.6639601,-91.27560283,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,7.51,6.18,3.81,1.14,<0.50,<0.20,1.46,102,<0.20,14.89
#63 Custer et al (2014),S513,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Shellhorn",43.6639601,-91.27560283,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,5.08,5.26,3.72,1.89,<0.50,<0.20,2,138,<0.20,17.27
#63 Custer et al (2014),S-518,Nestling,0.0328767,Lake Superior; Lake Michigan,"Pool 8, Shellhorn",43.6639601,-91.27560283,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,3.49,5.19,3.35,1.72,<0.50,<0.20,1.71,124,<0.20,16.2
#63 Custer et al (2014),R553,Nestling,0.0328767,Lake Superior; Lake Michigan,Root River,43.7646833,-91.365425,Aves,Tree swallow,Plasma,1,NA,2007,<0.5,<0.5,<0.75,<0.75,5.65,3.85,1.75,1.76,0.54,<0.20,1.29,52,<0.20,4.57
