"PFOS","PFDS","PFEtCHxS","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFPeDA"
100,4.98,0.36,0.46,3.36,3.66,2.9,4.13,2.7,NA
96.4,3.92,0.38,0.3,4.2,5.15,3.83,5.11,3.02,NA
72.7,2.65,NA,9.12,5.41,17.1,2.47,9,1.75,NA
54.1,1.28,NA,15.3,16.8,59,7.78,15.8,2.84,NA
133,4.86,NA,3.85,6.02,13.6,3.84,9.05,3.52,NA
364,3.85,NA,3.55,4.53,8.19,2.38,7.46,5.15,NA
119,1.43,NA,16.7,6.15,26.9,5.31,8.88,3.45,NA
43.4,2.07,NA,2.37,1.19,4.77,1.48,2.63,1.8,NA
211,9.74,NA,1.83,6.61,9.02,3.41,6.82,4.25,NA
449,24.8,NA,1.84,44.5,25.2,9.14,14.3,5.81,NA
298,8.23,NA,2.73,14.6,25.6,6.96,8.73,6.57,NA
453,10.2,NA,3.64,20.8,19.5,7.52,16.5,6.11,NA
336,12.6,NA,2.6,11.8,13.7,4.68,5.31,4.51,NA
723,15.9,NA,5.06,9.83,19.6,7.75,8.51,5.57,NA
262,5.98,NA,1.89,9.31,27.1,7.14,7.49,4.32,NA
309,5.91,NA,4.41,11,33.2,3.33,5.2,2.45,NA
2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.650992276701677,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.20622540958339,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.421215905475457,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.790775509430009,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.554551259868076,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.753794850463861,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.525366998792407,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.766050396795563,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,NA,NA,NA,NA
18000,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.72146396720833,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.36392627961007,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.71832883050051,NA,NA,NA,NA,NA,NA,NA,NA,NA
1740,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,NA,NA,NA,NA,NA,NA,NA,NA,NA
1490,NA,NA,NA,NA,NA,NA,NA,NA,NA
96.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.33784379977693,NA,NA,NA,NA,NA,NA,NA,NA,NA
75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.64483229160657,NA,NA,NA,NA,NA,NA,NA,NA,NA
26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.49277726769721,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,NA,NA,NA,NA,NA,NA,NA,NA,NA
774,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.4790503,NA,NA,NA,NA,NA,NA,NA,NA,NA
145.0148063,NA,NA,NA,NA,NA,NA,NA,NA,NA
80.34474995,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.76970722,NA,NA,NA,NA,NA,NA,NA,NA,NA
74.88481317,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.198163507,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.629610915,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.908874046,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.818710898,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.697721321,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.06282666,NA,NA,NA,NA,NA,NA,NA,NA,NA
61.64527538,NA,NA,NA,NA,NA,NA,NA,NA,NA
85.93486356,NA,NA,NA,NA,NA,NA,NA,NA,NA
229.913351,NA,NA,NA,NA,NA,NA,NA,NA,NA
129.8903898,NA,NA,NA,NA,NA,NA,NA,NA,NA
102.2694453,NA,NA,NA,NA,NA,NA,NA,NA,NA
98.73013746,NA,NA,NA,NA,NA,NA,NA,NA,NA
58.08385293,NA,NA,NA,NA,NA,NA,NA,NA,NA
50.00638193,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.51503941,NA,NA,NA,NA,NA,NA,NA,NA,NA
744.1642564,NA,NA,NA,NA,NA,NA,NA,NA,NA
483.3580946,NA,NA,NA,NA,NA,NA,NA,NA,NA
449.5770551,NA,NA,NA,NA,NA,NA,NA,NA,NA
132.8560109,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.7902725,NA,NA,NA,NA,NA,NA,NA,NA,NA
74.29323527,NA,NA,NA,NA,NA,NA,NA,NA,NA
56.12776572,NA,NA,NA,NA,NA,NA,NA,NA,NA
41.39889197,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.700092626,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.199444464,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.147542213,NA,NA,NA,NA,NA,NA,NA,NA,NA
136.65,NA,NA,9,7.7,13,3.9,10,1.1,0.42
98.22,NA,NA,9.6,8.6,20,6.5,23,2.9,1.3
218.51,NA,NA,3.1,12,14,12,15,5.4,0.51
185.05,NA,NA,2.1,4.1,7.9,3.2,10,1.5,2.475
213.17,NA,NA,0.71,6.5,13,4.7,12,2.8,1.2
235.59,NA,NA,16,20,28,12,29,4.6,2
164.06,NA,NA,2.1,4,6.1,3.5,13,2.6,1.675
259.79,NA,NA,0.64,7.8,12,11,17,7.4,2.7
502.14,NA,NA,1.6,22,25,16,20,6.5,1.7
336.65,NA,NA,1.3,10,15,6.1,13,3.6,1.8
307.47,NA,NA,2.6,13,18,7.5,19,3.7,1.1
318.15,NA,NA,1.1,7.6,11,12,15,7.2,1.3
489.68,NA,NA,4.4,11,16,13,16,7.9,1.8
438.43,NA,NA,1.4,14,24,11,19,3.9,1.225
468.33,NA,NA,2.1,12,22,8.9,17,2.9,0.98
55.43409605,0.311524736,NA,0.614396007,1.574930609,1.592237539,0.475940569,0.76150491,0.164415833,NA
61.01443304,0.311179054,NA,0.552342821,1.587013176,1.485879983,0.466768581,0.684593919,0.155589527,NA
41.66327841,0.357332033,NA,0.452802423,1.786660165,2.152175374,0.703753164,1.011986139,0.283683446,NA
40.50642676,0.277705459,NA,0.570838998,1.218818402,1.157106078,0.339417783,0.493698593,0.092568486,NA
48.05936685,0.243997462,NA,0.536794417,0.853991119,0.84585787,0.252130711,0.414795686,0.0569790197983233,NA
53.9571025,0.251846003,NA,0.426397311,0.936360759,0.780428767,0.23906778,0.470429624,0.103619946,NA
55.44863476,0.317513132,NA,0.518862923,1.029981623,1.014493178,0.356234246,0.658258932,0.1703729,NA
50.73627488,0.244950089,NA,0.426687252,1.335373066,1.12202944,0.316064631,0.568916336,0.158032315,NA
41.06504607,0.248393449,NA,0.528837667,1.161840328,1.105751485,0.288456909,0.681078813,0.152241146,NA
36.77071156,0.267309,NA,0.369515382,1.014201794,0.9355815,0.298757118,0.597514235,0.141516529,NA
68.26261939,0.461568062,NA,0.56871779,1.65669965,1.673184223,0.552233217,1.055012712,0.271995465,NA
42.72273965,0.283999527,NA,0.360756156,0.997836176,1.197403411,0.314702179,0.644755683,0.176540246,NA
32.32270747,0.294547454,NA,0.682109894,2.24786215,2.069583428,0.674358645,1.069672334,0.232537464,NA
43.00578284,0.312171872,NA,0.402537413,1.601934604,1.569074407,0.451827709,0.862580172,0.180731084,NA
44.5373082,0.30655754,NA,0.620975529,2.703994709,2.719715608,0.958974868,1.933670635,0.471626984,NA
39.49106174,0.128295835,NA,0.312721098,0.545257299,0.441016933,0.088203387,0.216499222,0.0528308018159041,NA
59.31864264,0.351645227,NA,0.632961409,1.422209585,1.172150757,0.375088242,0.601704055,0.203172798,NA
62.6105469,0.363916399,NA,0.677053765,1.472591938,1.1509914,0.397769087,0.660127421,0.194652957,NA
70.37244094,0.361531059,NA,0.529685039,1.177077865,0.8744007,0.243823272,0.479238845,0.126115486,NA
48.7416681,0.370104495,NA,0.381147564,0.958420631,0.876675621,0.294404931,0.462645712,0.174779952,NA
40.82551402,0.21953271,NA,0.325514019,0.598037383,0.454205607,0.143831776,0.295233645,0.0719644894126827,NA
82.09022888,0.388942618,NA,0.575635074,1.089039329,0.738990974,0.202250161,0.365606061,0.093346228,NA
71.23506134,0.440829517,NA,0.597734939,1.427092167,1.03109277,0.403471084,0.590263252,0.179320482,NA
34.39038172,0.266216889,NA,0.379157387,0.855120916,0.879322451,0.250082532,0.403358922,0.137142034,NA
31.91598395,0.18912055,NA,0.310157701,0.446324497,0.416065209,0.143731618,0.219379838,0.068248319701859,NA
16.20407478,0.01847597823928,NA,0.45206173,0.38191422,0.45206173,0.0705162936935048,0.187060026,0.0517613961094025,NA
25.70217353,0.117630085,NA,0.646965466,0.529335382,0.403303148,0.100825787,0.285673063,0.065322865494751,NA
19.49326388,0.0289043541827422,NA,0.377045723,0.316718407,0.399668466,0.0667264852236411,0.188522862,0.0669686398012171,NA
16.1511679,0.0353991186271244,NA,0.391543464,0.323776326,0.271068552,0.0587185190975147,0.180712368,0.0396485213362612,NA
24.75090204,0.031314912542383,NA,0.552911084,0.57730422,0.414683313,0.130096726,0.284586587,0.081310453,NA
27.0687564,0.137528051,NA,0.55820209,0.671460484,0.469213351,0.161797707,0.315505529,0.088988739,NA
28.02980631,0.118036804,NA,0.511492816,0.598053139,0.535100177,0.125905924,0.30689569,0.086560323,NA
116.3509755,0.994256676,NA,7.816387103,7.839331487,5.437819207,1.086034216,1.674940093,0.504776467,NA
72.82378051,0.484034562,NA,4.262626947,4.98087178,3.364820905,0.710437824,1.334998549,0.351315408,NA
82.58857153,0.616439607,NA,4.451267395,5.175225538,3.619790716,0.888819898,1.533931115,0.451577852,NA
91.1232224,0.598829745,NA,4.798414971,5.568338929,4.35512542,0.9643492,1.539847916,0.412181513,NA
265.7992979,2.863889911,NA,17.42266175,17.94119334,22.6558422,5.257112679,6.413837016,1.43593366,NA
105.4021905,1.016263796,NA,14.85308625,11.68703365,9.013478128,1.743283281,1.821457419,0.484679657,NA
58.90975869,0.55552123,NA,7.720111214,6.061716953,4.436000412,0.833281845,0.947653863,0.261421755,NA
18.4341989,0.044044619767495,NA,1.008291497,0.818323534,0.438387608,0.138822742,0.292258405,0.094983982,NA
17.13862212,0.125099432,NA,0.914789593,0.758415304,0.586403585,0.125099432,0.281473721,0.093824574,NA
17.61239239,0.0215008763609689,NA,0.902644137,0.801547993,0.498259563,0.129980756,0.281624971,0.086653837,NA
25.14670677,0.0398879087939016,NA,1.343898193,1.04349742,0.529653994,0.213442654,0.49803286,0.126484536,NA
15.67518508,0.0287393100283713,NA,0.886534492,0.745316608,0.509953469,0.109836132,0.274590329,0.086299818,NA
17.90003655,0.0780043278059869,NA,1.091465643,0.795210683,0.428790074,0.124738931,0.327439693,0.0586758916729173,NA
14.25137725,0.160127834,NA,0.592472987,1.489188859,1.369092983,0.504402678,0.696556079,0.32826206,NA
11.68686869,0.162210339,NA,0.486631016,1.313131313,1.081402258,0.417112299,0.540701129,0.254901961,NA
13.27643346,0.217778678,NA,0.637204279,1.597043637,1.677702406,0.524282002,0.693665418,0.306503324,NA
